,p,d,q,mse,r2,corr,tr_na,tr,tst
AS14.01,1.0,2.0,1.0,0.06026204930133545,0.22548448111070485,0.9285714285714286,33.0,54.0,14.0
AS14.02,0.0,1.0,0.0,1.4567901234567904,-0.12858660998937355,0.3333333333333333,32.0,32.0,9.0
AS14.03,4.0,1.0,2.0,0.07052370763641751,-0.016344427536785888,1.0,38.0,38.0,9.0
AS14.05,5.0,2.0,0.0,0.10264229584151474,0.20840295902121442,0.8181818181818182,42.0,42.0,11.0
AS14.06,0.0,1.0,1.0,0.2341773378062422,-0.029490603110210012,0.7777777777777778,36.0,36.0,9.0
AS14.07,4.0,0.0,2.0,0.6282212164397717,0.22476120674215516,0.4,38.0,38.0,10.0
AS14.08,5.0,1.0,0.0,0.27647681341722696,0.12000913803418956,0.5384615384615384,49.0,49.0,13.0
AS14.09,4.0,0.0,2.0,0.24111500090073584,0.41437852717047585,0.5,36.0,36.0,10.0
AS14.12,6.0,2.0,0.0,0.36038973948334707,-0.14770781622542417,0.7272727272727273,30.0,41.0,11.0
AS14.13,6.0,0.0,2.0,0.48361802501541507,-1.9809538941094478,0.5454545454545454,42.0,42.0,11.0
AS14.14,2.0,0.0,2.0,0.12546829232593465,0.619071598251432,0.75,36.0,37.0,8.0
AS14.15,0.0,1.0,1.0,0.09110527051486868,-0.03606557634390106,0.9090909090909091,44.0,44.0,11.0
AS14.16,5.0,0.0,1.0,0.5765007420733652,-2.5218698288858032,0.3,43.0,43.0,10.0
AS14.17,6.0,0.0,0.0,0.10327165487807993,0.23610539091082516,0.9166666666666666,44.0,50.0,12.0
AS14.19,6.0,2.0,0.0,0.16241183310126567,0.32297842872991755,0.7,36.0,36.0,10.0
AS14.20,4.0,1.0,0.0,0.03547976825793257,-0.0013104870536020385,1.0,37.0,37.0,10.0
AS14.23,1.0,2.0,2.0,0.44335067808420203,-0.2627700666394719,0.75,31.0,32.0,8.0
AS14.24,6.0,0.0,0.0,0.20067175347383345,-0.007215485615592376,0.8333333333333334,43.0,44.0,12.0
AS14.25,3.0,2.0,0.0,0.04831594918756732,0.3680109997266119,1.0,24.0,24.0,6.0
AS14.26,4.0,0.0,2.0,0.3872119420873507,0.2668707433431148,0.42857142857142855,54.0,55.0,14.0
AS14.27,5.0,2.0,2.0,0.2525877812653107,-0.13664501569389853,0.5555555555555556,33.0,34.0,9.0
AS14.28,3.0,2.0,1.0,0.12653305995561145,-0.04379123532406637,0.7142857142857143,31.0,31.0,7.0
AS14.29,6.0,2.0,0.0,0.3152833623186015,0.14417049772765644,0.7777777777777778,33.0,35.0,9.0
AS14.30,2.0,2.0,1.0,0.02522132233131768,-0.43302967791577873,1.0,37.0,37.0,10.0
AS14.31,3.0,0.0,1.0,0.011848781452894006,0.38301702291715933,1.0,34.0,35.0,9.0
AS14.32,4.0,2.0,1.0,0.60557386009404,0.0928676182925019,0.625,29.0,33.0,8.0
AS14.33,4.0,0.0,0.0,0.5299120507199224,0.09519854743325695,0.6,33.0,36.0,10.0
