,index1,p1,d1,q1,mse1,index2,p2,d2,q2,mse2
AS14.01,25.0,2.0,2.0,1.0,0.06101042177970197,17.0,1.0,2.0,2.0,0.0799948970424992
AS14.02,3.0,0.0,1.0,0.0,1.1227976190476188,3.0,0.0,1.0,0.0,1.4567901234567904
AS14.03,3.0,0.0,1.0,0.0,0.061074074074074086,23.0,2.0,1.0,2.0,0.0668982378149755
AS14.05,7.0,0.0,2.0,1.0,0.07790295370712488,23.0,2.0,1.0,2.0,0.10480448350362023
AS14.06,30.0,3.0,1.0,0.0,0.20555988872078904,4.0,0.0,1.0,1.0,0.2341773378062422
AS14.07,9.0,1.0,0.0,0.0,0.8107397683987083,9.0,1.0,0.0,0.0,0.8107397684037003
AS14.08,20.0,2.0,0.0,2.0,0.45423646281224606,31.0,3.0,1.0,1.0,0.33180831580701564
AS14.09,0.0,0.0,0.0,0.0,0.34265150528812127,20.0,2.0,0.0,2.0,0.33969189746688055
AS14.12,12.0,1.0,1.0,0.0,0.261747565397933,22.0,2.0,1.0,1.0,0.4093244676269785
AS14.13,0.0,0.0,0.0,0.0,0.8769943566008643,7.0,0.0,2.0,1.0,0.49089938901682806
AS14.14,20.0,2.0,0.0,2.0,0.33791902563926557,32.0,3.0,1.0,2.0,0.369213919752525
AS14.15,4.0,0.0,1.0,1.0,0.09533421169643083,4.0,0.0,1.0,1.0,0.09110527051486868
AS14.16,26.0,2.0,2.0,2.0,0.33037740482158007,33.0,3.0,2.0,0.0,0.3806473977487501
AS14.17,1.0,0.0,0.0,1.0,0.140164454228696,29.0,3.0,0.0,2.0,0.13495072299353525
AS14.19,26.0,2.0,2.0,2.0,0.26257427989231824,34.0,3.0,2.0,1.0,0.23363820676592714
AS14.20,5.0,0.0,1.0,2.0,0.06790677654108707,16.0,1.0,2.0,1.0,0.03561093156352042
AS14.23,17.0,1.0,2.0,2.0,0.35735200970693315,17.0,1.0,2.0,2.0,0.4676031127485436
AS14.24,27.0,3.0,0.0,0.0,0.20301952530670717,29.0,3.0,0.0,2.0,0.21072647167812414
AS14.25,19.0,2.0,0.0,1.0,0.336726403616154,33.0,3.0,2.0,0.0,0.04831594918756732
AS14.26,29.0,3.0,0.0,2.0,0.4616756618274435,29.0,3.0,0.0,2.0,0.4615265415454252
AS14.27,1.0,0.0,0.0,1.0,0.3708806798506802,30.0,3.0,1.0,0.0,0.2857846967910592
AS14.28,0.0,0.0,0.0,0.0,0.2860314170862047,3.0,0.0,1.0,0.0,0.24180555555555572
AS14.29,2.0,0.0,0.0,2.0,0.2652990766747527,16.0,1.0,2.0,1.0,0.34591692045696926
AS14.30,33.0,3.0,2.0,0.0,0.03550863762759543,25.0,2.0,2.0,1.0,0.02522132233131768
AS14.31,30.0,3.0,1.0,0.0,0.023438099837983797,32.0,3.0,1.0,2.0,0.013166787906826067
AS14.32,17.0,1.0,2.0,2.0,0.5896107440034495,31.0,3.0,1.0,1.0,0.6344256116185855
AS14.33,30.0,3.0,1.0,0.0,0.45598424561709755,19.0,2.0,0.0,1.0,0.5429868401464617
